"foreign_language","race","sex","wealth","educ","log_wealth","log_educ"
0,1,1,4000,14,8.29404964010203,2.63905732961526
0,1,2,85496,12,11.3562248702047,2.484906649788
0,1,1,347000,12,12.757080058929,2.484906649788
0,1,1,262000,12,12.4760997827432,2.484906649788
0,1,2,200000,16,12.2060726455302,2.77258872223978
0,0,1,51500,14,10.8493370866518,2.63905732961526
0,1,1,285000,16,12.5602444592508,2.77258872223978
1,1,2,500,12,6.21460809842219,2.484906649788
0,1,1,3444937,12,15.0524161748897,2.484906649788
0,1,1,322400,12,12.6835482896146,2.484906649788
0,1,1,943200,18,13.7570336282053,2.89037175789616
0,1,2,1273000,16,14.0568868775395,2.77258872223978
0,1,2,228000,17,12.3371009079366,2.83321334405622
0,1,2,47400,17,10.7663775076832,2.83321334405622
1,1,2,3500,17,8.1605182474775,2.83321334405622
0,1,1,43300,16,10.6759079139906,2.77258872223978
0,1,2,1011000,16,13.8264504980026,2.77258872223978
0,0,1,3000,11,8.00636756765025,2.39789527279837
0,0,2,45000,12,10.7144177687525,2.484906649788
0,1,2,32500,12,10.3889953683178,2.484906649788
0,1,2,35400,12,10.4744670991219,2.484906649788
0,1,2,1922416,15,14.4690932862994,2.70805020110221
0,1,2,7180,15,8.87905466204227,2.70805020110221
0,1,2,354,13,5.86929691313377,2.56494935746154
0,1,1,4500,12,8.41183267575841,2.484906649788
0,1,1,478000,19,13.0773660114736,2.94443897916644
0,1,2,431200,18,12.9743272985769,2.89037175789616
0,1,2,16449398,16,16.6157994387613,2.77258872223978
0,1,1,728000,18,13.4980563271788,2.89037175789616
0,1,1,185000,16,12.1281111040605,2.77258872223978
0,1,1,544646,12,13.2078913213176,2.484906649788
0,1,1,596500,16,13.2988345205201,2.77258872223978
0,1,2,126000,12,11.7440371859336,2.484906649788
0,0,2,255200,12,12.4498028304528,2.484906649788
0,1,2,170500,12,12.0464905757057,2.484906649788
0,1,2,564200,12,13.24316407755,2.484906649788
0,0,1,1000,10,6.90775527898214,2.30258509299405
0,0,2,197600,12,12.1940000642959,2.484906649788
1,0,1,277000,18,12.5317727851695,2.89037175789616
0,1,2,712154,12,13.4760494591412,2.484906649788
0,1,2,63500,9,11.0587951848808,2.19722457733622
